Apple	תפוח
Ant	נמלה
Air	אוויר
Arm	זרוע
Arrow	חץ
Ask	לשאול
Aunt	דודה
After	אחרי
Animal	בעל חיים
Angry	כועס
Answer	תשובה
Always	תמיד
Above	מעל
Around	מסביב
Alive	חי
Ball	כדור
Bring	להביא
Bag	תיק
Bed	מיטה
Bee	דבורה
Bird	ציפור
Boat	סירה
Boy	בן
Box	קופסה
Bread	לחם
Baby	תינוק
Blue	כחול
Book	ספר
Big	גדול
Bank	בנק
Cat	חתול
Car	מכונית
Cup	כוס
Cake	עוגה
Career	קריירה
Coat	מעיל
Cow	פרה
Coin	מטבע
Chair	כיסא
Child	ילד
Clock	שעון
Cloud	ענן
Card	קלף
City	עיר
Cry	לבכות
Dog	כלב
Day	יום
Dad	אבא
Door	דלת
Duck	ברווז||להתכופף
Doll	בובה
Drum	תוף
Dress	שמלה
Desk	שולחן עבודה||שולחן כתיבה
Deal	עסקה
Dark	אפל||חשוך
Drive	לנהוג
Dance	ריקוד||לרקוד
Dream	חלום||לחלום
Drink	משקה||שתייה||לשתות
Egg	ביצה
Ear	אוזן
Eye	עין
Eat	לאכול
End	סוף
Earth	כדור הארץ
Edge	קצה
Eight	שמונה
Easy	קל
Elephant	פיל
Enjoy	ליהנות
Empty	ריק
Enter	להיכנס
Evening	ערב
Every	כל
Fish	דג
Feel	להרגיש
Frog	צפרדע
Fire	אש
Friend	חבר
Food	אוכל
Fruit	פרי
Face	פנים
Foot	כף רגל
Fly	לעוף||זבוב
Fun	כיף
Five	חמש
Find	למצוא
Floor	רצפה
Fast	מהר
Gift	מתנה
Girl	בת
Game	משחק
Gate	שער
Grass	דשא
Garden	גן||גינה
Glass	זכוכית
Green	ירוק
Great	נהדר
Group	קבוצה
Gold	זהב
Good	טוב
Grow	לגדול||לגדל
Ground	אדמה
Give	לתת
Hat	כובע
Hand	יד
Hair	שיער
House	בית
Home	בית
Horse	סוס
Hill	גבעה
Head	ראש
Heart	לב
Heat	חום
Happy	שמח
Hope	תקווה
Hard	קשה
High	גבוה
Ice	קרח
Ink	דיו
Iron	ברזל
Island	אי
Idea	רעיון
Item	פריט
Issue	נושא||סוגייה
Image	תמונה
Important	חשוב
Inside	בפנים
Interest	עניין
Information	מידע
Invite	להזמין
Instant	מיידי
Include	לכלול
Jam	ריבה
Jellyfish	מדוזה
Jar	צנצנת
Job	עבודה
Jump	לקפוץ
Joy	שמחה
Join	להצטרף
Juice	מיץ
Jacket	ז'קט
Jungle	ג'ונגל
Judge	לשפוט||שופט
Journey	מסע
Joke	בדיחה
Jewel	תכשיט
Joint	משותף||מפרק
Kite	עפיפון
Key	מפתח
Kid	ילד/ה
King	מלך
Kit	ערכה
Keep	לשמור
Kind	אדיב
Knock	לנקוש
Know	יודע
Knee	ברך
Knife	סכין
Kitchen	מטבח
Kettle	קומקום
Kidney	כליה
Kingdom	ממלכה
Lion	אריה
Lamp	מנורה
Lake	אגם
Leaf	עלה
Leg	רגל
Light	אור||קל
Lock	מנעול
Love	אהבה
Laugh	לצחוק
Life	חיים
Long	ארוך
Left	שמאל
Large	גדול||רחב
List	רשימה
Look	להסתכל
Man	גבר
Map	מפה
Moon	ירח
Mouse	עכבר
Milk	חלב
Money	כסף
Mother	אימא
Market	שוק
Month	חודש
Music	מוזיקה
Morning	בוקר
Minute	דקה
Middle	אמצע
Move	לזוז
Much	הרבה
Nose	אף
Night	לילה
Nail	ציפורן
Name	שם
Nest	קן
Net	רשת
Number	מספר
Nine	תשע
Near	ליד
North	צפון
New	חדש
Noise	רעש
Nice	נחמד
Note	הערה
