a	אחד|אות בלתי מוגדרת
an	אחד|אות בלתי מוגדרת לפני תנועה
the	ה הידיעה
i	אני
you	אתה|את|אתם
he	הוא
she	היא
it	זה|היא לחפץ
we	אנחנו
they	הם|הן
me	אותי|לי
him	אותו|לו
her	אותה|לה
us	אותנו|לנו
them	אותם|להם
my	שלי
your	שלך|שלכם
his	שלו
its	שלו|שלה לחפץ
our	שלנו
their	שלהם
mine	שלי
yours	שלך|שלכם
hers	שלה
ours	שלנו
theirs	שלהם
this	זה
that	זה|ההוא
these	אלה
those	אלה|ההם
who	מי
what	מה
where	איפה
when	מתי
why	למה
how	איך
which	איזה|אשר
whose	של מי
whom	את מי
and	ו
or	או
but	אבל
because	כי
so	לכן|אז
if	אם
although	למרות ש
while	בזמן ש
before	לפני
after	אחרי
until	עד ש
unless	אלא אם
since	מאז|מכיוון
for	עבור|בשביל
from	מ
to	אל|ל
of	של
in	בתוך|ב
on	על
at	ב|אצל
by	על ידי|ליד
with	עם
without	בלי
about	על אודות
against	נגד
between	בין
among	בקרב
through	דרך
over	מעל
under	מתחת
above	מעל
below	מתחת
near	ליד
far	רחוק
behind	מאחורי
beside	לצד
inside	בתוך
outside	בחוץ
up	למעלה
down	למטה
out	החוצה
off	כבוי|מחוץ
again	שוב
also	גם
too	גם|יותר מדי
very	מאוד
just	רק|בדיוק
only	רק
even	אפילו
still	עדיין
already	כבר
always	תמיד
never	לעולם לא
often	לעיתים קרובות
sometimes	לפעמים
usually	בדרך כלל
here	כאן
there	שם
now	עכשיו
then	אז|לאחר מכן
today	היום
tomorrow	מחר
yesterday	אתמול
yes	כן
no	לא
not	לא
all	כל
some	כמה|חלק
any	כלשהו
many	רבים
much	הרבה
more	יותר
most	הכי הרבה|רוב
few	מעט
less	פחות
least	הכי פחות
each	כל אחד
every	כל
both	שניהם
either	אחד מהשניים
neither	אף אחד מהשניים
another	עוד אחד|אחר
other	אחר
same	אותו דבר
different	שונה
own	עצמי|של עצמו
such	כזה
than	מאשר
as	כמו|כאשר
like	כמו|לחבב
can	יכול
could	יכול היה
may	עשוי|רשאי
might	אולי|עשוי
must	חייב
should	צריך|כדאי
would	היה|הייתי
will	עתיד|ארצה
shall	אעשה|נעשה
do	לעשות
does	עושה
did	עשה
done	בוצע
be	להיות
am	אני נמצא|ה
is	הוא|היא
are	הם|אתם
was	היה
were	היו
been	היה|הייתה
being	להיות|ישות
have	יש|להחזיק
has	יש לו|לה
had	היה לו|לה
having	בעל|ת
make	לעשות|ליצור
made	עשה|יצר
get	לקבל|להשיג
got	קיבל
go	ללכת
went	הלך
gone	הלך|נעלם
come	לבוא
came	בא
see	לראות
saw	ראה
seen	נראה|ראה
look	להסתכל
watch	לצפות
hear	לשמוע
listen	להקשיב
speak	לדבר
talk	לדבר|לשוחח
say	לומר
said	אמר
tell	לספר|להגיד
ask	לשאול|לבקש
answer	לענות|תשובה
know	לדעת
think	לחשוב
believe	להאמין
understand	להבין
remember	לזכור
forget	לשכוח
learn	ללמוד
teach	ללמד
study	ללמוד
read	לקרוא
write	לכתוב
spell	לאיית
count	לספור
try	לנסות
practice	לתרגל
repeat	לחזור
explain	להסביר
mean	להתכוון|פירושו
use	להשתמש
need	צריך|זקוק
want	רוצה
love	לאהוב
hate	לשנוא
prefer	להעדיף
choose	לבחור
decide	להחליט
plan	לתכנן
hope	לקוות
wish	לקוות|לאחל
feel	להרגיש
seem	להיראות
become	להפוך ל
stay	להישאר
keep	לשמור|להמשיך
leave	לעזוב
move	לזוז|לעבור
turn	לפנות|להסתובב
open	לפתוח|פתוח
close	לסגור|קרוב
start	להתחיל
begin	להתחיל
finish	לסיים
end	לסיים|סוף
stop	לעצור
continue	להמשיך
work	לעבוד|עבודה
play	לשחק|לנגן
live	לחיות|לגור
die	למות
help	לעזור|עזרה
show	להראות
give	לתת
take	לקחת
bring	להביא
send	לשלוח
receive	לקבל
buy	לקנות
sell	למכור
pay	לשלם
cost	לעלות כסף
save	לחסוך|להציל
spend	לבזבז|לבלות
find	למצוא
lose	לאבד|להפסיד
win	לנצח
fail	להיכשל
pass	לעבור
meet	לפגוש
join	להצטרף
call	להתקשר|לקרוא
text	לשלוח הודעה|טקסט
email	לשלוח אימייל|אימייל
visit	לבקר
travel	לטייל|לנסוע
drive	לנהוג
ride	לרכוב
walk	ללכת ברגל
run	לרוץ
sit	לשבת
stand	לעמוד
lie	לשכב
fall	ליפול
rise	לעלות
carry	לשאת
hold	להחזיק
put	לשים
place	למקם|מקום
set	לקבוע|סט
cut	לחתוך
build	לבנות
break	לשבור
fix	לתקן
clean	לנקות|נקי
wash	לשטוף
cook	לבשל
eat	לאכול
drink	לשתות
sleep	לישון
wake	להתעורר
wear	ללבוש
change	לשנות|שינוי
grow	לגדול|לגדל
develop	לפתח
improve	לשפר
increase	להגדיל
reduce	להפחית
add	להוסיף
remove	להסיר
include	לכלול
create	ליצור
design	לעצב
draw	לצייר
paint	לצבוע|לצייר
print	להדפיס
copy	להעתיק
check	לבדוק
test	לבחון|מבחן
measure	למדוד
compare	להשוות
describe	לתאר
discuss	לדון
agree	להסכים
disagree	לא להסכים
allow	לאפשר
accept	לקבל|להסכים
refuse	לסרב
offer	להציע
suggest	להציע
recommend	להמליץ
promise	להבטיח
wait	לחכות
expect	לצפות
prepare	להכין
protect	להגן
cover	לכסות
hide	להסתיר
share	לשתף
support	לתמוך
follow	לעקוב|ללכת אחרי
lead	להוביל
serve	לשרת|להגיש
manage	לנהל
control	לשלוט
search	לחפש
click	ללחוץ
type	להקליד|סוג
download	להוריד
upload	להעלות
install	להתקין
connect	לחבר
sign	לחתום|שלט
fill	למלא
empty	לרוקן|ריק
